cache-misses_1s,branch-misses_1s,branch-load-misses_1s,L1-dcache-stores_1s,dTLB-stores_1s,cache-misses_2s,branch-misses_2s,branch-load-misses_2s,L1-dcache-stores_2s,dTLB-stores_2s,cache-misses_3s,branch-misses_3s,branch-load-misses_3s,L1-dcache-stores_3s,dTLB-stores_3s,cache-misses_4s,branch-misses_4s,branch-load-misses_4s,L1-dcache-stores_4s,dTLB-stores_4s,cache-misses_5s,branch-misses_5s,branch-load-misses_5s,L1-dcache-stores_5s,dTLB-stores_5s,label
34731286,12623462,12120228,850223892,759587758,41984597,13316316,12797078,312399805,407422239,11764692,2681670,2703716,36147128,38778950,18231648,5414894,5343458,80673314,84153657,14394816,4990543,5289781,116666844,96249829,25
29692606,12605009,12225856,815062780,792530623,54337374,20352015,20658201,514099239,444263535,16649869,6534194,6189305,129138945,147045648,5698249,1554293,1579928,21269952,31668568,11629322,4467435,4165712,129273618,120806729,25
37183894,14210756,13933728,863722519,792172703,51054045,17495229,17469546,426786169,458636927,20786579,4831263,4778191,81739939,80775890,8822291,4715736,4882491,120997093,79066357,10024413,3023082,3061564,81500989,73414083,25
27091292,12064857,12416607,783929196,824497724,28213586,9767532,9812968,252438770,294121243,38828390,12534655,12490916,245435211,246429432,10810992,5261659,5563777,121444403,107937792,8315346,2371116,2433749,37037918,41936679,25
34841503,12519289,12576297,863580986,758169218,49651054,17025902,17177438,406313426,446111930,23865167,5744077,5701956,112774159,136542513,10382066,5030169,5168141,106423631,113496515,11087193,2596597,2625452,55487433,55018195,25
36219055,14588207,13995889,781018441,896935500,53605685,18019698,18009683,442402661,470590549,12392238,5185980,4946109,123452840,133384510,5987794,1753709,1771154,29365399,29571701,14395669,5372278,5278977,110754385,138461553,25
33599487,12281810,12404273,768261963,901939495,54637317,18655502,19123017,452395740,478940885,18578428,6628173,6900637,156963700,149794328,6162000,1847595,1834384,32103098,26000279,12643598,4366265,4252548,134516269,102051887,25
29099540,11282293,11420026,670813064,676016165,36060834,12416222,12395546,448371922,416553832,32823061,9672934,9791064,239559172,203499450,4576740,1299349,1309961,15698026,17258759,20038090,9416332,9332479,244509194,194476132,25
31455493,12123559,11843646,766482167,807768975,53848641,19207171,19692045,486638958,447532138,14998636,6351435,6250448,128040197,143874944,7592803,2621592,2777290,57466167,49467843,8408691,2292453,2256316,32309850,35139691,25
33287086,13075774,13113533,791044925,851663009,52896954,18682074,18525263,411591444,481571331,16198915,5894473,5739155,143268348,142004500,7710000,2594182,2509289,32817092,45834614,14050563,4297153,4733562,145140444,106173012,25
34828589,12240394,12146708,776611638,829386864,52550591,19569315,19742664,459333521,480188774,11504488,3114875,3130703,55434236,60060646,4334589,1443361,1448297,24221337,23144638,19985160,7363768,7766643,228014951,206299580,25
32889923,12623421,12574647,787266620,821217732,53186121,18967417,18898461,463050855,423950882,18491012,4855619,4799523,110957006,107330642,8032624,3899294,3958154,95733162,97412048,10386925,3311235,3400112,83240687,85304968,25
35912131,12610367,12932546,806459211,794053956,54666788,19569815,19458117,457714454,437591313,19284714,5077498,4984163,94725794,99639001,7255951,4210512,4048876,93439470,101359568,11324982,2907750,2957829,65017944,105423673,25
34200779,12989117,12899777,817305872,792637919,42077345,15779791,15684935,340191818,399964166,27923189,7960328,7983317,174050108,161178650,9296720,5053651,4950637,119972653,88347273,8454194,2257401,2231077,33515724,32426809,25
35230646,12634830,12446406,806257012,834621338,51185267,18599440,18861076,460089936,452912456,18329408,6454093,6520747,149188701,128743327,6694734,2016687,1976927,30369562,28721107,11397897,4852580,4691311,127892634,113338985,25
33293836,13318839,13155313,816728642,807511442,56223367,18841854,18646579,439082460,491761661,17929937,6249585,6484112,148638779,139963097,7632346,2715371,2686839,40974980,63813104,12431872,5084354,4980753,125992125,132930380,25
36419415,13299924,13144909,804716418,840283399,55634129,18571274,18747975,445466340,420926141,18571215,5865683,5907000,131862602,121692055,8572197,2838374,3015945,62785772,52079635,9180218,2445284,2446501,43692664,40354023,25
33696909,11840756,11834598,763012098,865075427,57966517,19739075,20119348,491636618,455671283,15647923,4443186,4422077,85929106,80138261,7030078,4304622,4185494,79601937,93643530,9209167,3292738,3700445,105811805,108802102,25
31910679,12879797,13096636,797171955,812261546,48838783,17945830,17814439,438778496,391377851,25228935,6304417,6464563,128463631,117550507,8007788,4133610,4221084,117810663,106823546,8611229,2831811,2846115,80717471,55373880,25
33810618,12064595,11961727,856022937,800324103,53226457,18529721,18733691,488661854,417691262,20161695,5657116,5609254,121982203,130585862,6793246,2805703,2816311,62270575,56620640,11362407,3279837,3182687,71029257,111820179,25
35136080,14535876,13954451,817756635,849880285,54948209,18291083,18020049,423253352,505529751,19418341,6824110,6452544,125914915,130486892,7272523,3183423,3221300,52368423,42770067,11689796,4316558,4063553,109878007,148348782,25
35214959,12320563,12295055,853030444,775080942,58316251,19184867,18512551,451573398,460599742,19225220,4384785,4401248,85506147,81752268,8100245,4403761,4382610,93190648,93852516,9586015,2684992,2732127,86955464,84643070,25
29869421,12698690,12412700,792644960,828669575,32343720,11857978,12237743,273556421,310877392,38347975,11798933,11818594,248074775,236129392,9781760,5141234,4752292,104533830,105243985,6797759,2256556,2264940,30520705,36642470,25
31173259,13686244,13540231,754062963,841184878,57950404,19593980,19607827,416145088,510805318,19020127,7055644,6578619,140087091,146118061,6797863,2019262,1981298,31196964,31316467,11598405,4374896,4147661,105177622,132862826,25
36909718,12548051,12645949,846523116,812712693,41110092,14430861,13968289,361945569,329463022,30601727,8732857,8456822,179184868,212851140,9062204,4197275,4230046,104653572,114090105,9186061,2528721,2492148,41742110,44232725,25
28963776,12142334,12178770,751019740,892116216,23980982,9008397,9064280,207882530,248944475,44786373,13925956,13900149,293689597,320353519,10755673,4809142,4689153,112512607,110952218,7256745,2103746,2104723,32223007,36985305,25
30530195,11563235,10971420,799580702,755343770,39150292,15004514,14999050,361177325,340872468,29595864,8338949,8708826,196727656,175329685,11792616,4959294,4660068,110037969,125472676,7549097,2259516,2253199,33836855,32455643,25
30935265,11854374,11366698,819937088,801687097,47675417,16281238,16289461,412953420,399137183,21053597,7806170,7550878,155541818,147427492,16717552,6070123,5801308,90789509,79143317,10063769,2240910,2232701,26092871,28612766,25
34791074,12949841,12953756,836543131,780444810,44141088,14130403,14649055,414400249,340440336,29390848,8402998,8887667,197306939,165816113,7161388,4225149,4177910,89890179,107542379,9805534,2611138,2630990,43084685,45868237,25
36571368,13120180,13041179,805594426,805947662,58894665,20197108,19438064,459613220,452507163,20039191,6997841,6870275,162765887,154710650,6206944,1840820,1792068,30080592,29422175,13183183,4145689,4242720,123161158,139641130,25
35250569,13138907,13033971,806238877,806889410,50095262,17550202,17112499,438181802,431511831,17803593,5141909,5204904,113754999,103157968,8961417,4106554,4254402,98992308,102254854,9291997,2668741,2641143,51393473,49798125,25
37609361,13034980,13054638,806460375,784218951,24671743,8916125,8775173,227916079,253235212,43483010,14136722,14024048,307933043,322568758,10936096,5212228,4823304,118003260,96180879,8024383,2205888,2219173,37352122,37824384,25
30901309,13373257,12990704,759545786,834249212,54745273,18852130,18893340,428323937,465766079,14898401,4065734,4135546,99765005,81293089,9482494,4206984,3968658,84985943,105485436,11050947,2865709,2945851,83999339,71744625,25
35121752,13282873,12444094,882810846,760878847,21190126,7023761,7182205,209244488,193746859,44589626,14427393,14561041,328522256,314918977,14614600,5248662,5114787,116714496,124627858,8112647,2350834,2385069,37962361,40248278,25
31593160,13007557,12767403,799747884,811674997,40244721,15664565,15779093,352308095,388035496,29985652,8407976,8439428,192054617,186143204,9514279,5009955,4841398,90752763,119450689,9634827,2523169,2498690,43373863,44984120,25
35563699,11838203,11984941,835339174,768246593,56538890,21022866,20777626,475849123,472323789,15625466,6303125,6278621,138570435,157992381,6554228,1831484,1817772,28865468,27881113,7491858,2219709,2225696,29599797,36935575,25
32434343,13067140,13328674,780369055,839686037,57022164,19024732,18608353,464760456,495102730,15349086,6562501,6955152,146247161,131773738,6435989,1890170,1898637,27973148,30281022,11310951,5411686,5477404,123583817,108387561,25
31393068,12527851,12539361,788130030,814468157,45568897,16326369,16260882,392367175,436114583,23079606,7529517,7629021,204344011,176846856,6299428,2857168,2928919,50161976,55169871,8969288,2398080,2372480,39765242,35914122,25
32869951,12647800,12132328,820046943,780702734,54508637,19574038,19637542,483359639,442136636,15423713,6580517,6654175,135910248,150532441,5234277,1540975,1564465,22815957,25934596,9246067,2449478,2474408,43017991,40780405,25
34443480,11777159,11427882,797032391,806086529,51245507,18631236,19077623,450322226,460679773,20156275,7761275,7579834,161497066,171478158,6139405,1822962,1865736,28729491,31377208,8296543,2407677,2419266,36627095,35850265,25
37145240,12288465,11867620,772402457,813482294,45120288,16034293,16020754,389394366,382384341,25198553,7034717,7325236,160669838,141479307,7226740,4181298,4392280,100625594,111569485,10840187,2905951,2813409,68310754,82419755,25
33117933,12266231,11270288,804546036,813188000,39961679,14255000,14564327,349508971,358381301,29147431,8749503,9213882,215217405,165608862,8720157,4012677,4289980,103355141,102325137,7499681,2264062,2290156,34532373,39276797,25
38727202,12958800,12602862,840234829,836789326,47637590,18038651,18276547,463800800,454818555,16911761,6856481,6834331,169891401,141238644,5496001,1657616,1709452,25458671,30765476,12527489,4809508,4999020,122927222,132297799,25
32458696,12812080,13012903,790548635,839258937,48484165,17100518,16937917,483243922,369645346,25408390,8428843,8406002,193879618,196191346,4915532,1910329,2066822,42025789,27820273,16350202,6060996,6146880,138982001,120192905,25
28100939,12392737,12659157,758160124,829728946,46281124,16457347,16320046,352935739,424571207,27677969,7292687,7290676,158957674,160085951,7454690,4263623,4455551,105384699,95157829,9092625,2437707,2448470,40441070,40135741,25
30053119,12592771,12615198,814768916,821322941,37515490,13824759,13991275,366192539,310202808,31967095,9743818,9573778,201747598,207584768,7421533,4455136,4469154,101147793,110202275,9582420,2659806,2730156,40291532,44165125,25
32099519,10824033,11219610,763630168,806267305,6121137,1574050,1558595,17084696,18075188,24959728,8817862,8517140,238304579,246709751,22923847,9226165,9093840,248348004,193941238,3707235,1271261,1327629,24286614,30901694,26
32724694,12636799,12316114,800582109,796005514,6248836,1454028,1473836,16372633,16145652,35155817,13514492,13468241,408947063,381414296,11149980,4308690,4439829,94357718,80176162,893396,235840,244881,5823418,2648533,26
34075211,12696356,12489362,810271767,809622688,6143978,1485902,1493688,17231802,18602997,30650765,10651796,10957167,308640381,342954737,8503643,2808811,2805023,70877558,68046283,5544188,1883951,2160061,107837977,76718521,26
31703128,12135031,11572466,819634013,759283344,27294699,8288433,8419272,290665045,248360337,14731784,5621548,5638920,131627419,104901717,1399264,360537,340132,7659879,10922487,7654523,3953794,4146364,88144730,96828225,26
29808310,12547411,12515362,790644161,790382031,29448571,9457102,9688798,279856648,355460582,8957003,3623126,3565642,79769586,77033462,861334,278361,293216,4559897,5864213,4523340,2332975,2584926,109772000,67287925,26
30576508,12693939,13198532,754376929,801533278,32792547,11532684,11719618,304724308,314755128,6816371,2657566,2634606,68545872,57411589,5361731,2035039,2284199,84676871,95343594,790736,181978,187465,4925836,3807855,26
32260264,11826564,11853352,752293563,781325614,24619723,7338149,7156443,242388807,210213182,17869070,6994444,6957540,191320690,151117313,930479,233000,238186,3688299,4520947,5010342,3178412,3494671,83386808,95049301,26
34259675,13007849,13113712,813607844,773278329,32210649,11340693,11603887,338282109,292602941,9954530,3236523,3199039,78298557,85321089,570239,137817,136842,4370115,1855059,4453478,1556983,1386915,99811714,88281625,26
29801623,12472329,11816737,779907795,818729633,30509424,9866460,9956446,286633050,316939370,10369249,3949894,3899331,76016605,84908896,606779,150491,150367,2158904,3376969,5708232,1562283,1730382,89085839,87071767,26
30687746,11319405,11043839,796190881,774777107,30573510,10293712,10220176,310932470,293136541,9937846,3239619,3262951,79141471,84286665,634754,157077,157007,3915505,2729522,3867542,2112506,2471478,107274924,77529049,26
34843648,13390248,12901211,784898406,788993866,24827345,8848431,8332416,250234803,271420015,14958269,6407496,6299617,129399804,126924137,2055780,501018,507399,9896121,15185815,6497066,2944114,3222070,94668556,79229526,26
32250985,12484177,12462936,742572875,827552224,31574920,11436210,11346808,321833565,299620887,9037921,3330124,3151426,70579377,70127825,687627,182773,163623,4156600,3630296,5403955,1889333,1570587,100276085,87372287,26
31507126,13308872,12921884,806756323,782276783,28396501,11653181,11634194,336180477,289654312,11426068,3512793,3594905,82842658,80602142,736367,170922,172263,4271206,3853060,4069198,1921169,1766156,94338999,99400715,26
31720926,12642334,12371349,800924897,780203427,36884327,12327916,12502154,354863406,353078622,3975765,1560917,1388203,26046436,40331508,5643010,1729310,1493437,102080716,85534951,640406,173503,174534,2759403,4570577,26
31292050,12706566,13241619,734858221,799959148,26079520,7568602,6776997,226376781,252766859,16706689,5991899,6019594,143154558,148884150,1773388,508397,513822,10851203,12768028,4087951,1719242,1722298,103869097,90658551,26
31721599,12831641,12335943,813456384,800182501,23868459,8101397,8323214,246744034,284124550,14241495,4741478,4694724,118919865,111254208,1292755,291343,301395,9999750,10457866,5375095,2074358,2348096,99312067,100258362,26
32564547,12454931,12447189,782527924,799334804,27240610,9903059,9601180,272741410,306136374,11941096,4232153,4403044,98676180,93945361,1521383,450493,433225,11131066,10521061,5768987,1931208,2076673,97221845,87754681,26
33482668,11914309,11455564,776283854,800508762,32974999,12214886,11953652,267332348,371048606,10583972,3075058,3107627,77826244,74711821,990469,297487,297342,6932015,11491144,6342988,3516071,3288642,76700766,99384302,26
32104453,12932796,12822535,797629650,784645363,28441995,10900443,11322430,309824537,301924393,11459750,3548212,3120704,73870481,94366444,608556,149091,150123,2189115,3760403,5384611,1679168,1768032,84427711,94344463,26
32123561,11860929,11450934,838773732,767893451,5800264,1440072,1465232,15923087,18037496,30080035,10980704,11406036,307379884,328539540,9424118,3300841,3272635,81140623,75087824,4341949,1802864,1893356,96195652,87245528,26
33484499,13243706,13057864,807378032,804897561,23617250,7855898,7946954,225573053,264186792,18775823,6202448,6122396,146258229,146346454,2079607,541460,538827,9199080,17396126,3917356,3490607,3457688,86584996,99260916,26
29355382,12143326,12090519,761501346,791296967,32903068,10964880,10998227,304211792,283166154,9330553,3404331,3406330,96692193,72738976,886894,217279,226594,4718510,5483111,5199431,1808677,1895856,93768316,96214991,26
33264208,12888613,12843586,790108388,807061795,5467338,1412087,1436720,15029367,16310536,5928491,1418511,1419101,15233431,15019744,30758900,11764949,11741326,327282264,298755666,9304689,3207952,3047430,63695173,82544997,26
32593669,13551581,13403566,806335243,785207461,27383561,9461572,9882132,318449212,305823366,7718060,2996105,3139035,67670498,67536857,417169,145928,140721,2334457,3415348,4449401,3211506,2828700,91317696,87796598,26
28489730,13420932,13353868,793007390,775050903,14994655,4084615,4218366,130270192,115942700,26514217,9233767,9237583,257822851,252047044,3562212,1384956,1383047,28582607,32153653,5162814,2537234,2238612,100166588,82117332,26
31060394,12745656,12828548,756221319,844451952,13770726,3668815,3905779,91294586,75343924,26045229,9869484,9690555,288510557,291433109,4007436,1241600,1208252,32770182,31384015,4321987,3483371,3482147,77219035,106900293,26
31235958,11762052,11548417,799158874,786953414,22537871,7258743,7357055,261134029,193431732,18617821,6927716,6912483,161264393,168269955,1004417,279295,301062,6633693,10457421,4762226,2332848,1864779,84855548,106416230,26
31399177,12248931,11915055,803701015,744618858,6059989,1418464,1429365,15460431,16521515,31433012,10421967,10243682,308471073,316120241,6206620,3015732,3079246,85937259,57251906,4971378,1752661,1888501,106203558,88167786,26
35985336,13219306,13018644,845032301,726549959,30093679,10761980,10730242,289771002,326574212,9931395,3575030,3631722,82554671,70348995,1113076,333423,332750,11617773,9456456,5528095,2638502,2296060,76904738,104202973,26
35484336,13144822,12889367,822796753,785429634,31356847,10872347,10945423,338578333,303351073,10355751,3340150,3225264,77922224,94458651,742817,198461,188770,4459396,3339406,4850280,2596996,2879137,96795897,82895051,26
35831256,11448643,11144793,819851409,764885706,35638010,11628407,11822351,342278054,317396096,4765345,2150373,2148524,50614666,44462670,587424,173187,168505,3452753,3590858,6318871,3800042,3711431,89881923,101958517,26
32873421,12613498,12198233,785164042,804555475,30569256,9998750,10164263,295588355,335689419,9321923,3857965,4016463,81918669,74011375,789306,222679,199171,4914622,3878127,5343747,2250131,1922485,114951824,74430710,26
31334876,12344712,12324661,808338339,797260147,27845187,10681805,11103155,300572796,315510978,5422077,1991843,1919844,55283642,62185236,4542500,1524363,1588318,33586175,28479290,6076848,3500388,3474729,82028902,104135704,26
33217315,13320535,13127774,798689670,811336750,29092904,9856540,10101364,298257937,321817359,10210523,3424773,3700379,88191540,77079898,669137,138043,141446,4455511,3916306,5694168,3547428,3521445,76775728,98651849,26
34827317,13105981,12801086,800096519,787633588,32031522,11846680,11730571,303579763,327349575,9810956,3704846,3677987,82261855,74252100,1649041,417598,412542,13495088,12746748,5449803,3435702,3818312,64295197,104221663,26
35685825,13333809,12676174,830020799,768259640,5861906,1362956,1370868,15421194,15793242,15133436,4151643,4474419,104115290,88469863,26059748,9505437,9419723,280363006,281629641,3657813,1497019,1485401,28827087,32701006,26
30169788,12617421,12301477,774952394,806602636,13405012,4258092,4524870,177516246,133863183,25499407,8737113,8101012,214083183,244828668,2374467,631336,611853,18485241,10427612,5116992,1883205,2173035,114646884,86204386,26
29649662,13338135,12839926,765204986,808601477,13899879,4118687,4264328,106633512,100839458,27344790,9067712,8579000,259686873,296918692,2262924,825838,957348,19422767,18694127,5348964,3399786,2970927,78468071,101635375,26
34489770,12652363,12234120,838637705,742685658,23824073,7937467,8075838,267347009,267144792,16055886,5346958,5701253,107943591,140366650,636357,181129,182243,3370717,3943726,6826212,3839166,3636289,91659723,96711913,26
32228962,12850310,12562909,795073748,796277779,5857120,1475526,1477124,16895033,17744391,30826126,11738231,12260038,334041634,316242819,10479701,4237039,4072559,77846171,80979495,668266,173999,186819,3415378,4062242,26
31700063,13561437,13025988,763719377,832498626,26624167,9186988,9922329,288584344,308860477,9819708,3801973,3772043,73014777,84073467,889317,160271,167995,3932350,3606690,3225876,2295632,2869053,88018085,80893738,26
