cache-misses_1s,node-loads_1s,branch-misses_1s,branch-load-misses_1s,LLC-store-misses_1s,branch-loads_1s,L1-dcache-stores_1s,L1-icache-load-misses_1s,branch-instructions_1s,iTLB-loads_1s,iTLB-load-misses_1s,dTLB-store-misses_1s,dTLB-load-misses_1s,dTLB-stores_1s,node-stores_1s,L1-dcache-load-misses_1s,cache-misses_2s,node-loads_2s,branch-misses_2s,branch-load-misses_2s,LLC-store-misses_2s,branch-loads_2s,L1-dcache-stores_2s,L1-icache-load-misses_2s,branch-instructions_2s,iTLB-loads_2s,iTLB-load-misses_2s,dTLB-store-misses_2s,dTLB-load-misses_2s,dTLB-stores_2s,node-stores_2s,L1-dcache-load-misses_2s,cache-misses_3s,node-loads_3s,branch-misses_3s,branch-load-misses_3s,LLC-store-misses_3s,branch-loads_3s,L1-dcache-stores_3s,L1-icache-load-misses_3s,branch-instructions_3s,iTLB-loads_3s,iTLB-load-misses_3s,dTLB-store-misses_3s,dTLB-load-misses_3s,dTLB-stores_3s,node-stores_3s,L1-dcache-load-misses_3s,cache-misses_4s,node-loads_4s,branch-misses_4s,branch-load-misses_4s,LLC-store-misses_4s,branch-loads_4s,L1-dcache-stores_4s,L1-icache-load-misses_4s,branch-instructions_4s,iTLB-loads_4s,iTLB-load-misses_4s,dTLB-store-misses_4s,dTLB-load-misses_4s,dTLB-stores_4s,node-stores_4s,L1-dcache-load-misses_4s,cache-misses_5s,node-loads_5s,branch-misses_5s,branch-load-misses_5s,LLC-store-misses_5s,branch-loads_5s,L1-dcache-stores_5s,L1-icache-load-misses_5s,branch-instructions_5s,iTLB-loads_5s,iTLB-load-misses_5s,dTLB-store-misses_5s,dTLB-load-misses_5s,dTLB-stores_5s,node-stores_5s,L1-dcache-load-misses_5s,label
35973885,2462867,12585276,12451586,4322229,928592501,780947208,39950724,1003882003,893206,745535,890109,1007841,740745904,6220582,45124284,14322450,822014,4181443,4221435,1176122,105054426,82467686,26298103,111441355,488049,558985,95706,619142,92503157,2073382,11540661,66982188,4163221,32092259,31550429,6773787,970988154,729824959,130872468,978362814,4052673,2134932,445361,2309494,729799686,6129432,81497615,99827242,6821905,34890306,35099010,6629064,1064513491,688689472,142791265,1045165424,3863377,2464947,619516,3518309,687627609,7645554,96610675,18248515,1311667,6369588,6495959,1054477,166828448,105420684,28915310,176539499,645971,455787,59770,764342,109842405,1064673,16357618,14
30645034,2104455,12316438,11933853,4569034,955813109,764901275,39117440,901495813,931189,818060,714045,1029120,714502372,5789238,52784173,11878221,671327,3391359,3381987,1518742,73729904,64012178,24985234,75102008,467893,549779,87951,534509,74401304,1181053,8689456,11589266,646442,3402924,3417834,903735,96025876,70133376,19266145,95055060,309446,412535,45000,456101,65064369,849586,7684394,38239036,2359676,9815385,9736019,2841348,235937845,188650992,61051871,237198487,1378140,1043623,171244,1137653,189681943,2977598,25706068,58198410,3800815,30084127,29508039,5702748,881555842,632853517,122308225,852377250,3684833,1790391,408575,2165864,617432755,4201412,69870036,14
30994062,2236999,12282729,12188050,6122342,847422993,694801279,51700094,887351641,1151160,877795,653955,955508,805806396,4783233,46178224,25289572,1484145,8868996,8659203,4860986,259267094,210271608,51978451,261230728,1165635,835936,165754,858638,224323373,2600819,20791675,71793067,4550780,33687249,33628985,5837011,995377799,705737274,133082481,1013648628,3981245,2121765,463664,2534386,694485912,6271736,79704267,78835026,5388846,25845758,26164874,7125920,788254731,518129801,124667555,803072736,3585428,2002212,522742,2800923,523249171,6497700,75405010,17377561,1301565,6719127,6745435,808398,224582658,134182074,19707719,193685107,458665,355910,39463,642375,98827211,403672,18097604,14
31943869,2394295,12944581,12633404,6497409,891744114,764593344,48799049,963706477,1088242,676501,859863,835711,744034634,4973461,47763481,10212452,559260,3188033,3221371,1693831,96835015,77149784,25093765,99994818,462156,471847,70261,463791,53721397,944566,8073990,33154221,2069939,15918390,15921670,4704724,519677702,438031556,85124016,540819232,2407550,1151960,336701,1218542,458676885,3878015,37446999,93271204,5752694,41517548,40680160,7864657,1129927177,729314647,163998717,1150902336,4663183,2560714,453610,3482407,740706374,5989796,102652182,52783836,3978908,13902085,13979625,4559060,445016605,293973093,67512498,462149272,1638942,1215680,391713,1817871,322330791,5000447,43978912,14
31587770,2261460,12523644,12455052,4866345,872237596,747770750,44199455,915411880,879198,766560,907520,899979,717445554,5682540,48042765,13428568,838570,4538528,3734561,930961,64320880,56635511,23203280,73625342,403429,481353,82678,534416,73974655,1528390,10332178,10804232,562251,2686343,2704674,365577,71396779,53838209,17213704,78078857,299408,371063,42955,438696,57675379,852013,6454463,34849414,2073687,9587571,9443133,2563003,250514190,195749020,59925358,227198602,1611160,1050047,161480,1102141,201452172,2950953,26953571,43234145,2733223,21153258,21062625,3996420,589954151,456847641,93830131,569829044,2952356,1274323,414579,1547696,471403009,3083231,49824213,14
33051916,2188870,12265311,12095217,5020498,914950901,779281645,41359289,975281581,963525,730538,661440,955320,686818093,5581932,49658240,12334081,750883,3585679,3407118,1058796,62541111,54924015,23730573,61462241,417179,450084,91207,463578,77559811,1632511,10317947,37026082,2291432,16588650,16810266,4291138,561875235,448133893,77472302,548709548,2184862,1008752,340499,1140566,448445238,4495759,36907723,99351674,6331195,39938323,40179169,6863433,1108049670,734824916,165579349,1145531110,4414096,2561764,445186,3437767,736194617,6627979,104875286,54908511,4141031,17260262,16858230,5507881,490466286,337909716,80097358,484793217,1890056,1474049,489781,1933541,346532709,4756837,47345267,14
33397596,2496565,12615151,12173170,6880812,861372758,741320395,42574737,1013935592,674268,654955,484186,771706,758682617,4587249,53011046,11615962,659464,3979741,4129081,1331713,88567016,70979990,23867682,80863469,436519,511245,65963,552765,53620696,911802,8572257,34789301,2092669,13948111,14301430,3857294,495702047,420340919,72664031,530309853,2024712,919214,297968,999529,375428545,4574707,34484741,87711922,5643740,39964418,39037259,6686361,1082273394,732056517,171945699,1075551813,4544462,2787055,483043,3353015,719003298,5809865,103445071,65650454,4697213,19527495,19426733,6310422,552587119,387160030,82650365,576720620,2174988,1555570,447255,2290661,399476875,5274627,55116990,14
32926870,2153646,12525745,11980381,5694225,923313075,739400826,41918988,939880334,1079633,834965,616484,1010044,739553876,5402152,59685450,12649487,734111,4099753,4279824,1393236,90182713,69704027,24223622,86763176,414682,507497,78717,541306,62575509,1125920,8708386,13120348,735945,4354331,4256941,781354,78266753,66340615,24864082,99808007,479553,521624,60239,509002,108785804,1177354,9624722,45211886,2693463,17115622,16585847,3832943,463986136,397700006,84454467,448514140,2215675,1311212,296094,1400731,447101318,5168692,44221129,100522015,6451569,41181665,41025539,7470347,1112417520,732932855,165024521,1157328793,4703753,2686879,468875,3495109,778021744,6986788,107105311,14
31330291,2148372,12496011,12178120,6595333,898059420,717786607,48369240,916877332,1104744,756441,571738,909907,729285963,4495364,49502621,11948207,708639,4002256,3684707,889630,79561913,64939613,21612700,83248454,377573,404968,88238,474213,61240326,1560875,9500581,26125092,1550166,8444643,8487551,3213648,304970708,231224740,50555134,302708590,1311593,820872,122223,852646,194988076,2235384,19377184,28348549,1800653,9283761,8853103,2184778,230885392,191023714,47498592,222271764,1192537,753856,155266,885422,225520355,1669140,22703053,80649431,5251551,38334812,38071906,6628264,1070529651,713886411,155673914,1045503368,4503360,2485059,460478,3265863,740999589,5581472,100755067,14
35622178,2506886,12983999,12681323,5513843,909951013,803279625,45169463,1001145148,1037182,920564,390563,941287,747803963,6131449,52470586,11638745,676517,4130951,4112490,948017,70843986,57602018,24205467,72405718,445204,517042,80623,512682,78375132,1606629,9928634,15288384,880313,4634100,4787993,1442146,151644559,116850183,28687447,130443526,579172,600213,70000,624758,98397062,1546868,9841849,31644982,1956224,7507269,7772027,2014874,242187782,188489828,54939209,243799718,1527546,1089354,146361,1184995,163637016,1861381,22060498,69842974,4581835,32467449,31957093,6187969,961506322,677267672,134702959,967130612,4408949,1937829,432037,2426289,713701819,5413080,79927469,14
